date,year,month,period,url,international_arrivals,asia_arrivals,europe_arrivals,americas_arrivals,oceania_arrivals,other_markets_arrivals,international_matched_label,asia_matched_label,europe_matched_label,americas_matched_label,oceania_matched_label,other_markets_matched_label,log_international_arrivals,international_arrivals_mom_growth_pct,international_arrivals_yoy_growth_pct,log_asia_arrivals,asia_arrivals_mom_growth_pct,asia_arrivals_yoy_growth_pct,log_europe_arrivals,europe_arrivals_mom_growth_pct,europe_arrivals_yoy_growth_pct,log_americas_arrivals,americas_arrivals_mom_growth_pct,americas_arrivals_yoy_growth_pct,log_oceania_arrivals,oceania_arrivals_mom_growth_pct,oceania_arrivals_yoy_growth_pct,log_other_markets_arrivals,other_markets_arrivals_mom_growth_pct,other_markets_arrivals_yoy_growth_pct
2017-12-01,2017,12,t12,https://vietnamtourism.gov.vn/statistic/international?year=2017&period=t12,1276353,997670.0,167164.0,71503.0,35996.0,23351.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.059517350395513,8.851085821888361,42.2470602789099,13.813177839290447,15.239385633281245,52.954938491163084,12.02673064544521,-15.247568926880216,12.321771733433673,11.177494685843843,-3.855049078929673,13.482414931437269,10.49116310015384,11.085051228243437,21.255810819915123,10.058395088732475,13.35436893203883,26.6254541510764
2018-01-01,2018,1,t1,https://vietnamtourism.gov.vn/statistic/international?year=2018&period=t1,1276353,997670.0,167164.0,71503.0,35996.0,23351.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.059517350395513,0.0,42.2470602789099,13.813177839290447,0.0,52.954938491163084,12.02673064544521,0.0,12.321771733433673,11.177494685843843,0.0,13.482414931437269,10.49116310015384,0.0,21.255810819915123,10.058395088732475,0.0,26.6254541510764
2018-02-01,2018,2,t2,https://vietnamtourism.gov.vn/statistic/international?year=2018&period=t2,1431845,1076469.0,215809.0,101764.0,34950.0,12621.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.174474380420868,12.1825231734481,19.378016559656697,13.889196798344509,7.898303046097399,21.819089199263964,12.282149036219199,29.100165107319764,10.939242992047449,11.530411685977503,42.32130120414528,15.155424290774121,10.461673747661957,-2.9058784309367702,14.902850379721876,9.44311737225863,-45.950922872682106,-31.15693012600229
2018-03-01,2018,3,t3,https://vietnamtourism.gov.vn/statistic/international?year=2018&period=t3,1343314,1030044.0,204460.0,76759.0,28841.0,12380.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.110650253091636,-6.183001651715092,-33.87637526402657,13.845112077740014,-4.312711281049431,-30.10258195461476,12.228127636311005,-5.258816824136159,-43.35785997650762,11.248425922418225,-24.571557721787663,-31.031043622804255,10.269553264861555,-17.479256080114446,-63.968567287991604,9.423837546238587,-1.9095158862213801,-90.26032775019866
2018-04-01,2018,4,t4,https://vietnamtourism.gov.vn/statistic/international?year=2018&period=t4,1341913,1015596.0,197650.0,81080.0,43866.0,16939.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.10960676579829,-0.1042943049800682,-33.94533843887258,13.830986190246417,-1.4026585272085446,-31.083004049126963,12.194253068724832,-3.3307248361537756,-45.24445380199907,11.303191600565937,5.629307312497556,-27.148569118109535,10.68889481152137,52.0959744807739,-45.197641297286495,9.737373934586381,36.82552504038772,-86.67364230699636
2018-05-01,2018,5,t5,https://vietnamtourism.gov.vn/statistic/international?year=2018&period=t5,1161114,930389.0,133485.0,63787.0,30209.0,10329.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,13.964890447074056,-13.473228145192717,19.35253750858308,13.743358057244818,-8.389851870231869,22.24652991291276,11.801744390959072,-32.463951429294205,5.678795363860911,11.06330468681515,-21.328317710902812,15.816326530612246,10.315895172210867,-31.133451876168326,9.727216592205146,9.242710752006634,-39.022374402266955,-42.613478526584814
2018-06-01,2018,6,t6,https://vietnamtourism.gov.vn/statistic/international?year=2018&period=t6,1183102,967996.0,110564.0,71936.0,29883.0,9118.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,13.983650360714503,1.893698637687602,24.620745300528135,13.782983234018772,4.042072724419565,29.68151535084487,11.61334981779711,-17.171217739820953,4.412042458353804,11.183532113813309,12.77533039647578,11.74524271844659,10.305045035813276,-1.0791485980998994,-2.314406197901342,9.118005760773388,-11.724271468680413,-45.450194436135206
2018-07-01,2018,7,t7,https://vietnamtourism.gov.vn/statistic/international?year=2018&period=t7,1188817,921373.0,142660.0,77830.0,43446.0,9689.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,13.988469252977975,0.4830521797782428,14.65328678342721,13.733620227820397,-4.816445522502155,17.375197616248037,11.86821945583203,29.02934047248653,5.377456049638063,11.262282239953434,8.193394128113884,10.279844137442428,10.679274066616875,45.387009336412,1.1359932957772712,9.178746500385005,6.262338232068432,-45.64985695854603
2018-08-01,2018,8,t8,https://vietnamtourism.gov.vn/statistic/international?year=2018&period=t8,1323546,1046276.0,173852.0,65579.0,34180.0,11946.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.095825056373224,11.333031072065758,7.678639854925673,13.86074775113416,13.556181915467459,8.164358183897068,12.065959641540097,21.864573110893026,5.8317911756111895,11.091010801730992,-15.7407169471926,9.016706840661627,10.439395956669582,-21.32762509782259,-0.10521393500116938,9.388151773292252,23.294457632366594,-35.51068883610451
2018-09-01,2018,9,t9,https://vietnamtourism.gov.vn/statistic/international?year=2018&period=t9,1212597,994451.0,127200.0,54500.0,33293.0,13914.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.008274898593946,-8.38270827005635,24.247606439660974,13.80994610507186,-4.953281925610453,28.44602998900825,11.75351592988816,-26.83431884591492,10.002248473632314,10.905955980651335,-16.894127693316463,10.824165768550342,10.413102443661062,-2.5950848449385555,-2.3551149694978846,9.540650806483587,16.47413360120542,-27.34962406015038
