date,year,month,international_arrivals,asia_arrivals,europe_arrivals,americas_arrivals,oceania_arrivals,other_markets_arrivals,was_imputed,quality_flag,covid_period,recovery_period,log_international_arrivals,international_arrivals_mom_growth_pct,international_arrivals_yoy_growth_pct,log_asia_arrivals,asia_arrivals_mom_growth_pct,asia_arrivals_yoy_growth_pct,log_europe_arrivals,europe_arrivals_mom_growth_pct,europe_arrivals_yoy_growth_pct,log_americas_arrivals,americas_arrivals_mom_growth_pct,americas_arrivals_yoy_growth_pct,log_oceania_arrivals,oceania_arrivals_mom_growth_pct,oceania_arrivals_yoy_growth_pct,log_other_markets_arrivals,other_markets_arrivals_mom_growth_pct,other_markets_arrivals_yoy_growth_pct
2016-08-01,2016,8,909866,675530,150207,53454,28301,2374,False,observed,0,0,13.72105261490303,6.23839670822639,36.82504116634209,13.42325284694323,6.993127719254888,45.83256876277733,11.919769621753511,23.24778049460918,39.3424677866731,10.886576749948699,-17.121726591934504,25.768199143569714,10.250652418696085,-22.394976417681256,15.73157765600719,7.772331575169614,6.840684068406833,-91.21033729497576
2016-09-01,2016,9,823135,637066,109427,45115,29345,2182,False,observed,0,0,13.62087550022897,-9.532282775705436,31.423193107720614,13.364628539862125,-5.693899604754781,38.07388463247325,11.60301293925099,-27.149200769604608,44.128920090091285,10.716970064428601,-15.60032925506043,23.609512850019176,10.286877452992435,3.6889155860216905,14.593095907528909,7.687997166393016,-8.087615838247686,-91.88847583643123
2016-10-01,2016,10,822145,618294,116984,52621,31800,2446,False,observed,0,0,13.619672057508602,-0.12027188735748151,26.659415589917714,13.334719351472405,-2.946633472826987,33.46817714764319,11.669792452291714,6.905973845577407,31.05982522966615,10.870870558594627,16.637481990468793,22.885967165643017,10.367221568768269,8.365990799113998,15.050651230101298,7.802209316247118,12.09899175068745,-90.63767894051902
2016-11-01,2016,11,936779,662678,179947,64271,27410,2473,False,observed,0,0,13.750202674276554,13.943282510992594,27.846029969702755,13.404044479999992,7.178462026155841,33.90951158890214,12.100417642070626,53.821890173015106,41.352196317476285,11.070863797603241,22.139450029455922,21.55961567559388,10.218663189296832,-13.805031446540884,11.640599543825347,7.813187267521416,1.1038430089942874,-92.53816909057993
2016-12-01,2016,12,897279,652264,148826,63008,29686,3495,False,observed,0,0,13.707122129468317,-4.216576161506613,17.939190166115047,13.388204666931138,-1.5715022982504379,24.71801618001075,11.91053311730021,-17.29453672470227,27.943123398841152,11.051016981438853,-1.9651164599897353,14.789579158316624,10.29843083318471,8.303538854432691,-3.9474535688863055,8.15908865466791,41.32632430246663,-90.20706660315503
2017-01-01,2017,1,1048350,767963,171678,75690,30052,2968,True,stale_repeated_vector,0,0,13.862728057573385,16.83656922763155,37.79610356494103,13.551496833885922,17.738063115548307,46.8405766064808,12.053375908216053,15.354843911682092,47.588590292464026,11.234401330303212,20.12760284408328,37.89396975769721,10.31068449348905,1.2329043993801747,-2.763217498220405,7.995643604287271,-15.078683834048645,-91.68371206814425
2017-02-01,2017,2,1199421,883662,194529,88371,30417,2442,False,observed,0,0,13.997349498317647,14.410359135784812,42.1576435951956,13.69182991556308,15.065699779807096,50.0970738559638,12.17833653118337,13.310383392164393,35.72958603414713,11.389299140505509,16.753864447086798,8.301775800580913,10.322756941620689,1.2145614268601168,6.539404553415062,7.80057265467065,-17.722371967654983,59.50359242325278
2017-03-01,2017,3,1128138,845096,173067,77896,29509,2570,True,stale_repeated_vector,0,0,13.936079043982694,-5.943117554219912,35.82074817483096,13.6472055093537,-4.364338400881785,44.601006445563485,12.061434081742114,-11.032802307111023,12.74355884173155,11.263129882658593,-11.85343608197259,20.391950789774647,10.292450580544786,-2.985172765229971,13.496153846153835,7.851661177889265,5.2416052416052406,30.589430894308943
2017-04-01,2017,4,1049218,802397,149306,66299,28504,2712,True,stale_repeated_vector,0,0,13.86355568275602,-6.995598056266161,31.21588970650766,13.595358776839225,-5.0525620757878364,43.46117469109425,11.913753170261646,-13.72936492803365,4.843092782057323,11.101930093103945,-14.887799116771083,10.476238085716183,10.257799707285672,-3.4057406215053043,-19.149056871365765,7.905441649060286,5.525291828793777,3.393061380099116
2017-05-01,2017,5,972844,761076,126312,55076,27531,2849,False,observed,0,0,13.78797901943434,-7.279135508540646,26.775896467558802,13.542488500451242,-5.149695225680051,30.85360989230155,11.746510315701725,-15.400586714532572,13.98148315255645,10.916469328564263,-16.927857132083435,11.35688145736873,10.223067921487123,-3.4135559921414593,17.678991237443896,7.954723334497908,5.051622418879065,37.16899374097255
2017-06-01,2017,6,949362,746441,105892,64375,30591,2063,False,observed,0,0,13.763545459019198,-2.413747733449556,33.60494473482001,13.523071857338918,-1.9229354230063778,38.28794697030047,11.570174985770922,-16.166318322883022,25.855142741686276,11.072480637966038,16.883942188975244,8.846355443585896,10.328461127032336,11.114743380189607,20.984773581174608,7.631916513071252,-27.58862758862759,-7.695749440715883
